"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1828.83910094019
"FDW14","OUT017",1558.8786897915
"NCN55","OUT010",1894.65779237824
"FDQ58","OUT017",2588.93765944309
"FDY38","OUT027",5171.05587712506
"FDH56","OUT046",1921.96307671794
"FDL48","OUT018",596.589972730701
"FDC48","OUT027",2765.33874429212
"FDN33","OUT045",1499.19556334805
"FDA36","OUT017",3083.42102338347
"FDT44","OUT017",1986.4489562153
"FDQ56","OUT045",1316.32759405445
"NCC54","OUT019",1855.22985436879
"FDU11","OUT049",2044.01153553208
"DRL59","OUT013",894.596018859277
"FDM24","OUT049",2553.68707656355
"FDI57","OUT045",3106.529468204
"DRC12","OUT018",2762.0916041945
"NCM42","OUT027",3183.85222239539
"FDA46","OUT010",1167.46191474961
"FDA31","OUT013",2816.54505909246
"NCJ31","OUT035",3870.80885078791
"FDG52","OUT046",813.802861657918
"NCL19","OUT019",384.499280936018
"FDS10","OUT035",3022.44811257978
"FDX22","OUT010",1468.19152737497
"NCF19","OUT035",930.596350698081
"NCE06","OUT046",2557.0280754454
"DRC27","OUT046",3852.80191832273
"FDE21","OUT035",2017.43829984286
"NCR42","OUT019",-1341.89414494518
"FDX51","OUT018",2872.83607460664
"NCR06","OUT018",436.160628933071
"FDU31","OUT027",4936.9454444216
"FDU59","OUT017",2724.2730950218
"FDR03","OUT027",4745.1780516129
"FDS49","OUT027",2740.46476671586
"FDD48","OUT010",-60.4140126650354
"NCF18","OUT017",3124.88079309224
"NCD43","OUT027",3089.39943261691
"NCD54","OUT018",2004.94748211647
"FDY19","OUT010",-12.9799040329853
"NCY54","OUT017",2825.10781324911
"NCL19","OUT018",2030.70344793153
"FDP23","OUT010",1556.21474738284
"FDC26","OUT013",1804.46058932001
"FDR14","OUT010",-983.684423230609
"NCS41","OUT035",3036.3978063037
"FDF41","OUT035",4029.3676049631
"FDU34","OUT046",1990.77513944963
"DRH11","OUT046",939.153809870321
"FDM03","OUT013",1731.22073519857
"FDS31","OUT017",3032.53475857716
"FDJ20","OUT017",2086.29349564416
"FDV44","OUT027",4498.92868758286
"FDG02","OUT049",3105.90573289702
"FDA09","OUT013",2908.00954228933
"FDT04","OUT013",681.33379188563
"FDL58","OUT019",2275.07529918367
"FDE52","OUT045",1444.09690986109
"FDW12","OUT035",2505.43392770685
"FDL51","OUT017",3542.52942348201
"NCY42","OUT027",3703.04967625254
"FDR07","OUT017",1659.13589238076
"FDN40","OUT045",2376.52920464536
"FDB35","OUT027",2935.98497937639
"FDA22","OUT017",2740.00226113078
"NCL06","OUT046",4110.48264691854
"FDI35","OUT013",2917.19826950034
"NCW42","OUT045",3412.98686008911
"NCX06","OUT049",2949.10256930973
"FDC37","OUT027",3180.71532983862
"FDZ14","OUT018",1718.68892603407
"DRG49","OUT049",3934.69713261109
"NCG06","OUT045",3954.40425381069
"DRC36","OUT045",2731.28360276449
"FDV21","OUT019",53.3635110280882
"FDB53","OUT046",2370.97918528947
"DRP47","OUT019",2030.8952224625
"FDA14","OUT013",2365.2701610694
"DRC24","OUT035",2575.19391769093
"FDW21","OUT018",1381.36960907884
"NCH29","OUT046",1553.40257874023
"FDU58","OUT013",3072.28008859634
"FDY27","OUT017",2945.27181494891
"FDV56","OUT035",1939.88506087879
"FDT59","OUT046",3660.76981424401
"FDB23","OUT046",3611.57264544946
"FDR49","OUT045",706.56829102438
"FDB03","OUT010",1939.5573723099
"FDN39","OUT045",2634.31463248356
"FDX02","OUT027",4975.47270185226
